id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
ccfeac45d9b5c0a297b20ab8ce6f07d1,krakow,apartmentBuilding,57.0,3.0,3.0,5.0,2015.0,50.07011,19.95153,1.89,22.0,0.298,0.494,0.473,0.66,0.223,0.956,0.282,condominium,brick,,no,yes,yes,yes,no,1300000
e7c87f6d0f18f1c4ed6774a0b7ee5ef3,krakow,,53.8,3.0,1.0,3.0,2014.0,49.988573,19.905274,7.79,0.0,0.643,1.006,1.33,0.744,1.334,4.26,1.388,condominium,brick,,yes,yes,no,no,no,699000
936cc07ce913d40621e3724ef9cda33a,krakow,blockOfFlats,51.0,2.0,,5.0,2014.0,50.016151,19.992886,5.84,5.0,0.262,0.739,0.425,0.597,0.253,2.515,0.331,condominium,,,no,yes,yes,no,yes,749000
f804901721395937ff7755d527dcfc16,krakow,blockOfFlats,70.76,4.0,,4.0,1970.0,50.0844,19.9667,3.81,24.0,0.199,0.462,0.207,0.114,0.209,2.222,0.201,condominium,brick,,yes,no,no,no,yes,968500
5780f65b143a29b53dd95872759136a8,krakow,blockOfFlats,32.8,2.0,5.0,5.0,2020.0,50.07223525,19.95194435,2.12,4.0,0.521,0.555,0.528,0.62,0.029,1.102,0.359,condominium,,premium,no,no,yes,no,no,902000
feb4773b54d3299666ab63fde2056f82,krakow,apartmentBuilding,68.77,3.0,4.0,5.0,2016.0,50.0689,19.983,3.52,11.0,0.561,0.095,0.365,0.077,0.059,1.579,0.457,condominium,brick,,yes,yes,yes,no,yes,1150000
f43ba94c2c9a4dd9d3bdfe5728e090c9,krakow,blockOfFlats,43.06,3.0,3.0,5.0,2022.0,50.06625784,20.01051241,5.29,6.0,0.407,1.899,0.689,0.404,0.138,2.036,0.647,condominium,,premium,no,no,yes,no,no,813834
3fb134431105bd8d4bf25420b2f31790,krakow,blockOfFlats,32.87,2.0,,5.0,2022.0,50.06650576,20.01030922,5.28,6.0,0.395,1.881,0.684,0.431,0.168,2.033,0.671,condominium,,premium,no,no,yes,no,no,686983
c816e1bc10ab2113069e20e05977cb25,krakow,apartmentBuilding,32.87,2.0,,5.0,2022.0,50.06650576,20.01000881,5.26,6.0,0.41,1.86,0.663,0.432,0.174,2.05,0.691,condominium,brick,premium,no,no,yes,no,no,686983
442d903c3948514e3f52db71d8269119,krakow,blockOfFlats,49.1,2.0,5.0,5.0,2021.0,50.0472529,19.9411286,0.91,55.0,0.171,0.059,0.509,0.092,0.115,0.194,0.04,condominium,brick,premium,no,no,yes,no,no,1104701
f303549ce241467d32641641804bdd2a,krakow,blockOfFlats,37.9,2.0,1.0,5.0,2022.0,50.06689835,20.00769997,5.11,5.0,0.517,1.692,0.533,0.444,0.065,2.167,0.773,condominium,,premium,yes,no,yes,no,no,754210
128c1c0febdc27cea454e821b5be2737,krakow,apartmentBuilding,33.8,2.0,2.0,5.0,2020.0,50.0720014,19.9522482,2.1,7.0,0.493,0.522,0.521,0.595,0.048,1.068,0.338,condominium,brick,,no,no,yes,no,no,895700
77a892f2a3c39bc0fce0dd4182c3527e,krakow,apartmentBuilding,25.15,1.0,,6.0,2024.0,50.07036593,19.9504509,1.88,25.0,0.358,0.565,0.428,0.73,0.211,1.034,0.257,condominium,brick,,no,no,yes,no,no,499999
3a2e72fe946001849844b683cc578b81,krakow,blockOfFlats,43.9,3.0,9.0,10.0,1969.0,50.0826,19.9727,3.9,22.0,0.189,0.878,0.06,0.064,0.169,2.139,0.151,condominium,concreteSlab,,no,no,yes,yes,yes,565000
e9745ee5d4cb41e15b3875fde53ca255,krakow,blockOfFlats,44.0,2.0,5.0,6.0,2014.0,50.08353942,19.93653851,3.14,12.0,0.657,0.172,0.15,0.47,0.359,0.473,0.072,condominium,brick,,no,yes,yes,no,no,809000
